region,volume_withdrawn,coordinates
ica_Villacuri,563.35,"-14.072210, -75.738317"
Rimac,165.43,"-12.028585, -77.032241"
Caplina_Uchusuma,111.55,"-18.009722, -70.215833"
Chicama,102.28,"-7.846249, -79.144371"
Ch_Lambayeque,61.96,"-6.712608, -79.909126"
LaLeche,58.18,"-6.485860, -75.736114"
Chillon,50.97,"-11.954061, -77.119126"
Alt_Piura,49.25,"-5.191033, -80.671442"
Olmos-Cascajal,49.01,"-5.982784, -79.753017"
Motupe,46.51,"-6.148662, -79.713321"
Nazca,46.01,"-14.832843, -74.926243"
Medio_Baj_Piura,43.33,"-5.172057, -80.676935"
Chincha,38.68,"-13.428149, -76.110041"
Pisco,24.64,"-13.712238, -76.210364"
Lacramarca,20.6,"-8.869361, -78.273354"
Moche,17.3,"-8.159423, -78.997195"
Zarumilla,15.43,"-3.499692, -80.268377"
Jequetepeque,15.06,"-7.336738, -79.564576"
Chancay-Huaral,15.05,"-11.582349, -77.267103"
Lurin,13.65,"-12.245698, -76.829462"
Fortaleza,12.81,"-4.026057, -77.709015"
Palpa,11.34,"-14.534303, -75.182888"
Viru,10.11,"-8.426675, -78.772144"
Huaura,10.05,"-11.068949, -77.606689"
Others,77.73,
