STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl
AL,01001,43.67,10.65,37.25
AL,01003,140.42,27.04,34.63
AL,01005,29.04,6.36,7.42
AL,01007,20.83,4.0,4.0
AL,01009,51.02,2.93,32.26
AL,01011,11.71,2.59,3.14
AL,01013,21.4,3.91,3.91
AL,01015,112.25,21.05,24.8
AL,01017,36.58,0.28,12.26
AL,01019,23.99,1.39,6.24
AL,01021,39.59,3.71,5.11
AL,01023,15.92,1.71,51.71
AL,01025,27.87,2.53,22.82
AL,01027,14.25,0.57,1.67
AL,01029,14.12,1.49,2.08
AL,01031,43.62,11.0,12.76
AL,01033,54.98,4.67,1346.03
AL,01035,14.09,2.49,2.49
AL,01037,12.2,0.31,0.65
AL,01039,37.63,7.39,28.92
AL,01041,13.66,1.95,2.31
AL,01043,77.48,0.58,41.49
AL,01045,49.13,7.86,8.52
AL,01047,46.36,13.42,53.8
AL,01049,64.45,2.39,18.08
AL,01051,65.87,3.89,6.14
AL,01053,38.44,8.35,42.74
AL,01055,103.46,5.15,270.51
AL,01057,18.5,0.78,2.85
AL,01059,31.22,1.8,4.81
AL,01061,25.76,2.76,3.69
AL,01063,9.97,3.65,360.93
AL,01065,17.18,6.01,6.01
AL,01067,16.31,2.83,4.66
AL,01069,88.79,23.76,129.93
AL,01071,53.93,2.0,1563.33
AL,01073,662.05,19.58,102.64
AL,01075,15.9,1.9,2.18
AL,01077,87.97,2.88,15.04
AL,01079,34.8,1.11,59.87
AL,01081,115.09,2.07,16.91
AL,01083,65.68,3.65,2120.52
AL,01085,13.47,1.88,2.43
AL,01087,24.1,0.88,4.78
AL,01089,276.7,31.22,53.78
AL,01091,22.54,5.16,23.4
AL,01093,31.21,0.61,5.57
AL,01095,82.23,3.53,19.28
AL,01097,399.84,39.72,1294.77
AL,01099,24.32,21.44,80.51
AL,01101,223.51,23.08,47.0
AL,01103,111.06,4.34,161.63
AL,01105,11.86,3.63,3.63
AL,01107,20.95,3.01,3.37
AL,01109,29.6,5.51,7.13
AL,01111,22.38,0.88,2.24
AL,01113,49.76,1.25,31.72
AL,01115,64.74,7.61,8.12
AL,01117,143.29,13.93,779.74
AL,01119,14.8,2.29,2.29
AL,01121,80.32,11.11,93.32
AL,01123,41.48,0.33,11.3
AL,01125,164.88,9.22,34.84
AL,01127,70.71,1.43,692.81
AL,01129,18.1,11.11,123.89
AL,01131,13.18,1.18,24.25
AL,01133,24.84,0.81,0.81
AK,02013,2.7,0.03,3.26
AK,02016,5.47,0.35,4.89
AK,02020,260.28,13.32,41.85
AK,02050,16.01,0.22,0.24
AK,02060,1.26,0.18,0.18
AK,02068,1.89,0.15,13.76
AK,02070,4.92,0.37,0.37
AK,02090,82.84,14.89,43.31
AK,02100,2.39,0.03,0.57
AK,02110,30.71,2.93,4.25
AK,02122,49.69,7.8,8.67
AK,02130,14.07,,6.67
AK,02150,13.91,0.27,6.31
AK,02164,1.82,0.13,0.47
AK,02170,59.32,4.32,4.38
AK,02180,9.2,0.6,0.94
AK,02185,7.39,89.89,140.33
AK,02188,7.21,0.05,7.13
AK,02201,6.15,0.01,2.58
AK,02220,8.84,,1.3
AK,02232,3.44,0.61,1.28
AK,02240,6.17,0.54,2.51
AK,02261,10.2,3.01,4.48
AK,02270,7.03,0.34,0.43
AK,02280,6.68,0.05,1.45
AK,02282,0.81,0.27,0.27
