STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-TOTAL ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-WTotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-WTotl,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-WTotl,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
AL,01,Autauga County,001,01001,2010,54.571,,,48.222,5.09,,5.09,,,,5.09,,5.09,6.349,0.37,,0.37,58.0,3.17,66.0,3.54,9.89,,9.89,31.14,,31.14,41.03,,41.03,2.88,0.06,2.94,1.9,0.03,0.02,1.95,2.88,,2.88,1.8,0.03,0.02,1.85,,0.06,0.06,0.1,,,0.1,0.06,0.09,0.15,,,,,,,,,,0.09,,0.09,0.04,,0.04,0.13,,0.13,,,,5.84,,5.84,5.84,,5.84,6738.26,,,,,,,,,,,,,,5.84,,5.84,5.84,,5.84,6738.26,18.38,,18.38,37.17,,37.17,55.55,,55.55
AL,01,Baldwin County,003,01003,2010,182.265,,,153.463,22.97,,22.97,,,,22.97,,22.97,28.802,1.71,,1.71,59.0,11.95,78.0,13.66,,,,,,,,,,32.3,6.66,38.96,12.44,0.43,0.17,13.04,32.3,5.07,37.37,10.3,0.43,0.17,10.9,,1.59,1.59,2.14,,,2.14,0.16,0.19,0.35,,,,0.16,,0.16,0.16,,0.16,0.21,,0.21,,,,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.35,,57.35,7.01,,7.01,64.36,,64.36
AL,01,Barbour County,005,01005,2010,27.457,,,25.555,4.15,,4.15,,,,4.15,,4.15,1.902,0.15,,0.15,79.0,1.9,74.0,2.05,1.58,,1.58,,,,1.58,,1.58,0.46,1.71,2.17,3.23,0.07,,3.3,0.46,1.52,1.98,2.93,0.07,,3.0,,0.19,0.19,0.3,,,0.3,0.15,0.23,0.38,0.09,,0.09,2.34,,2.34,2.43,,2.43,0.13,,0.13,0.06,,0.06,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,,6.71,4.34,,4.34,11.05,,11.05
AL,01,Bibb County,007,01007,2010,22.915,,,21.279,4.89,,4.89,,,,4.89,,4.89,1.636,0.15,,0.15,92.0,1.69,79.0,1.84,,,,,,,,,,0.63,0.06,0.69,0.4,,,0.4,0.63,,0.63,0.3,,,0.3,,0.06,0.06,0.1,,,0.1,0.03,0.04,0.07,,,,1.45,,1.45,1.45,,1.45,0.36,,0.36,,,,0.36,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,,6.06,1.55,,1.55,7.61,,7.61
AL,01,Blount County,009,01009,2010,57.322,,,44.464,2.44,,2.44,52.17,,52.17,54.61,,54.61,12.858,0.89,,0.89,69.0,2.98,67.0,3.87,,,,,,,,,,0.12,0.36,0.48,0.96,0.01,,0.97,0.12,0.12,0.24,0.55,0.01,,0.56,,0.24,0.24,0.41,,,0.41,0.47,0.51,0.98,,,,,,,,,,0.12,,0.12,,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,,4.04,53.04,,53.04,57.08,,57.08
AL,01,Bullock County,011,01011,2010,10.914,,,10.176,2.3,,2.3,,,,2.3,,2.3,0.738,0.08,,0.08,108.0,1.12,110.0,1.2,,,,,,,,,,0.29,0.32,0.61,0.24,,,0.24,0.29,0.29,0.58,0.18,,,0.18,,0.03,0.03,0.06,,,0.06,0.05,0.09,0.14,,,,,,,,,,0.04,,0.04,0.02,,0.02,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,2.76,0.43,,0.43,3.19,,3.19
AL,01,Butler County,013,01013,2010,20.947,,,17.599,2.7,,2.7,,,,2.7,,2.7,3.348,0.28,,0.28,84.0,1.34,76.0,1.62,0.3,,0.3,,,,0.3,,0.3,0.02,0.32,0.34,0.44,,,0.44,0.02,0.01,0.03,0.06,,,0.06,,0.31,0.31,0.38,,,0.38,0.16,0.24,0.4,0.27,,0.27,0.23,,0.23,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,,3.73,0.79,,0.79,4.52,,4.52
AL,01,Calhoun County,015,01015,2010,118.572,,,112.39,20.83,,20.83,2.47,,2.47,23.3,,23.3,6.182,0.51,,0.51,82.0,9.4,84.0,9.91,0.97,,0.97,,,,0.97,,0.97,,4.09,4.09,3.35,,,3.35,,3.44,3.44,2.47,,,2.47,,0.65,0.65,0.88,,,0.88,0.13,0.19,0.32,,,,0.02,,0.02,0.02,,0.02,0.07,,0.07,0.03,,0.03,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.51,,22.51,6.8,,6.8,29.31,,29.31
AL,01,Chambers County,017,01017,2010,34.215,,,25.875,,,,4.31,,4.31,4.31,,4.31,8.34,0.71,,0.71,85.0,2.11,82.0,2.82,,,,,,,,,,0.17,0.03,0.2,0.39,,,0.39,0.17,,0.17,0.33,,,0.33,,0.03,0.03,0.06,,,0.06,0.07,0.11,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,0.95,4.45,,4.45,5.4,,5.4
AL,01,Cherokee County,019,01019,2010,25.989,,,17.876,2.53,,2.53,0.96,,0.96,3.49,,3.49,8.113,0.52,,0.52,64.0,1.15,64.0,1.67,,,,,,,,,,,1.24,1.24,1.45,,,1.45,,1.18,1.18,1.35,,,1.35,,0.06,0.06,0.1,,,0.1,0.11,0.17,0.28,,,,,,,,,,0.01,,0.01,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,3.17,2.37,,2.37,5.54,,5.54
