YEAR,STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl,pcnt_groundwater
2010,AL,01001,54.571,18.38,55.55,0.330873087308731
2010,AL,01003,182.265,57.35,64.36,0.891081417029211
2010,AL,01005,27.457,6.71,11.05,0.607239819004525
2010,AL,01007,22.915,6.06,7.61,0.796320630749014
2010,AL,01009,57.322,4.04,57.08,0.0707778556412053
2010,AL,01011,10.914,2.76,3.19,0.865203761755486
2010,AL,01013,20.947,3.73,4.52,0.825221238938053
2010,AL,01015,118.572,22.51,29.31,0.767997270556124
2010,AL,01017,34.215,0.95,5.4,0.175925925925926
2010,AL,01019,25.989,3.17,5.54,0.572202166064982
2010,AL,01021,43.643,5.35,7.32,0.730874316939891
2010,AL,01023,13.859,2.02,42.89,0.0470972254604803
2010,AL,01025,25.833,3.06,24.31,0.125874125874126
2010,AL,01027,13.932,0.61,2.51,0.243027888446215
2010,AL,01029,14.972,0.91,1.79,0.508379888268156
2010,AL,01031,49.948,10.97,14.66,0.748294679399727
2010,AL,01033,54.428,2.07,1344.32,0.00153981194953582
2010,AL,01035,13.228,2.2,2.4,0.916666666666667
2010,AL,01037,11.539,0.84,0.93,0.903225806451613
2010,AL,01039,37.765,7.02,10.32,0.680232558139535
2010,AL,01041,13.906,2.52,3.16,0.79746835443038
2010,AL,01043,80.406,3.28,37.88,0.0865892291446674
2010,AL,01045,50.251,8.64,10.25,0.842926829268293
2010,AL,01047,43.82,12.44,49.12,0.253257328990228
2010,AL,01049,71.109,4.04,11.94,0.338358458961474
2010,AL,01051,79.303,4.94,16.02,0.308364544319601
2010,AL,01053,38.319,10.62,45.21,0.234903782349038
2010,AL,01055,104.43,5.43,146.3,0.0371155160628845
2010,AL,01057,17.241,0.66,4.65,0.141935483870968
2010,AL,01059,31.704,2.22,6.43,0.345256609642302
2010,AL,01061,26.79,5,7.45,0.671140939597315
2010,AL,01063,9.045,7.35,366.36,0.0200622338683262
2010,AL,01065,15.76,13.97,20.25,0.689876543209877
2010,AL,01067,17.302,3.61,6.49,0.556240369799692
2010,AL,01069,101.547,26.44,118.04,0.223991867163673
2010,AL,01071,53.227,2.46,1067.46,0.002304536001349
2010,AL,01073,658.466,10.31,81.33,0.126767490470921
2010,AL,01075,14.564,1.94,2.08,0.932692307692308
2010,AL,01077,92.709,4.62,17.5,0.264
2010,AL,01079,34.339,1.62,72.81,0.0222496909765142
2010,AL,01081,140.247,2.16,18.19,0.118746564046179
2010,AL,01083,82.782,6.51,2744.24,0.00237224149491298
2010,AL,01085,11.299,1.73,4.45,0.38876404494382
2010,AL,01087,21.452,2.34,7.14,0.327731092436975
2010,AL,01089,334.811,35.61,79.13,0.450018956148111
2010,AL,01091,21.027,4.94,25.05,0.197205588822355
2010,AL,01093,30.776,1.78,6.98,0.255014326647564
2010,AL,01095,93.019,6.47,30.45,0.21247947454844
2010,AL,01097,412.992,34.97,1096.73,0.0318856965707148
2010,AL,01099,23.068,4.13,50.62,0.0815883050177795
2010,AL,01101,229.363,16.27,37.63,0.432367791655594
2010,AL,01103,119.49,1.45,123.64,0.0117275962471692
2010,AL,01105,10.591,6.7,10.83,0.61865189289012
2010,AL,01107,19.746,3.94,6.17,0.638573743922204
2010,AL,01109,32.899,6.03,7.8,0.773076923076923
2010,AL,01111,22.913,1.02,2.86,0.356643356643357
2010,AL,01113,52.947,3.06,40.68,0.0752212389380531
2010,AL,01115,83.593,11.65,18.07,0.644714997232983
